"주소","사업장명"
"서울특별시 서대문구 홍제동 253-13번지 동화빌딩 ","참숯대박갈비"
"서울특별시 서대문구 홍은동 421-28번지 ","Navid(나비드)"
"서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이 ","끝집"
"서울특별시 서대문구 연희동 305-6번지 라온제나 ","프레시지 연희점"
"서울특별시 서대문구 충정로3가 3-96번지 금화재 ","배달삼겹직구삼 서대문점"
"서울특별시 서대문구 충정로3가 183-1번지 ","스티브키친"
"서울특별시 서대문구 북가좌동 383-7번지 ","사우나멘동"
"서울특별시 서대문구 홍제동 317-3번지 ","엔비(envy)"
"서울특별시 서대문구 대현동 90-60번지 이대포레스트 ","체셔캣"
"서울특별시 서대문구 홍제동 294-20번지 가동2호 지층 ","유진"
"서울특별시 서대문구 북가좌동 290-15번지 ","207 파스타(pasta)"
"서울특별시 서대문구 창천동 89-23번지 1층 ","밥은먹었어?"
"서울특별시 서대문구 연희동 132-27번지 ","ALPHA ROOM(알파룸)"
"서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이 상가201동 109호","가재울스시"
"서울특별시 서대문구 연희동 192-29번지 ","페퍼민트패티"
"서울특별시 서대문구 남가좌동 333-12번지 ","시시"
"서울특별시 서대문구 연희동 190-14번지 ","미 카미유(Mi Camille)"
"서울특별시 서대문구 충정로3가 347-5번지 ","모담"
"서울특별시 서대문구 충정로3가 347-1번지 ","모담"
"서울특별시 서대문구 창천동 30-1번지 현대백화점 유플렉스, 11층 ","이태원더버거(주)신촌점"
"서울특별시 서대문구 연희동 192-10번지 ","연희비어"
"서울특별시 서대문구 홍제동 266-20번지 1층 우측 ","고갈삼 구이한상"
"서울특별시 서대문구 홍은동 401-1번지 ","심봉사도로케 명지대점"
"서울특별시 서대문구 연희동 188-89번지 ","하니앤손스"
"서울특별시 서대문구 대현동 60-11번지 신촌박스퀘어 1층 24호","인생우짜"
"서울특별시 서대문구 남가좌동 340-25번지 , 1층 ","밀(meal)"
"서울특별시 서대문구 창천동 30-1번지 현대백화점 유플렉스 ","랑만(Lang man) 신촌점"
"서울특별시 서대문구 대현동 54-6번지 ","SPECIAL 여수수산"
"서울특별시 서대문구 창천동 30-1번지 현대백화점 유플렉스 ","보울룸 신촌"
"서울특별시 서대문구 홍제동 287-49번지 1층 좌측 ","오달매즉석떡볶이"
"서울특별시 서대문구 대현동 34-21번지 ","베가니끄(veganique)"
"서울특별시 서대문구 북아현동 220-1번지 ","카페 드 아미디"
"서울특별시 서대문구 충정로3가 276번지 , 1층 ","종로계림닭도리탕원조 충정로점"
"서울특별시 서대문구 홍은동 403-8번지 ","주식회사 협동플랫폼카페 이웃"
